Running SLURM prolog script on pink53.cluster.local
===============================================================================
Job started on Thu Feb 13 14:30:06 GMT 2025
Job ID          : 7052904
Job name        : Re100wcp_TL150_2e5
WorkDir         : /mainfs/lyceum/fe1g22
Command         : /mainfs/lyceum/fe1g22/TL-PINN-training.slurm
Partition       : lyceum
Num hosts       : 1
Num cores       : 8
Num of tasks    : 1
Hosts allocated : pink53
Job Output Follows ...
===============================================================================
Thu Feb 13 14:30:17 2025       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.104.05             Driver Version: 535.104.05   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA GeForce GTX 1080 Ti     Off | 00000000:83:00.0 Off |                  N/A |
| 23%   22C    P8               8W / 250W |      0MiB / 11264MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
GPU detected and configured.
Configuration loaded.
Loading cached data from temp/data_re150_35x15x10.npz
Data loaded from temp/data_re150_35x15x10.npz
Found 9 models.
Processing model: models/Re100/Re100_10000.npz
Model loaded from models/Re100/Re100_10000.npz
Frozen Layers: [1, 2]
Training Model...
It: 0, Loss: 5.010e-02, l1: 0.835, l2: 0.01354, Time: 13.67
It: 1000, Loss: 2.851e-04, l1: 0.973, l2: 0.01423, Time: 20.18
It: 2000, Loss: 1.902e-04, l1: 0.971, l2: 0.01332, Time: 19.95
It: 3000, Loss: 1.495e-04, l1: 0.972, l2: 0.01248, Time: 19.99
It: 4000, Loss: 1.190e-04, l1: 0.973, l2: 0.01198, Time: 19.97
It: 5000, Loss: 1.766e-04, l1: 0.973, l2: 0.01151, Time: 20.22
It: 6000, Loss: 9.066e-05, l1: 0.973, l2: 0.01123, Time: 19.99
It: 7000, Loss: 1.005e-04, l1: 0.973, l2: 0.01095, Time: 19.94
It: 8000, Loss: 8.831e-05, l1: 0.972, l2: 0.01063, Time: 20.05
It: 9000, Loss: 8.110e-05, l1: 0.972, l2: 0.01040, Time: 20.00
It: 10000, Loss: 1.289e-04, l1: 0.971, l2: 0.01017, Time: 19.99
Model saved to models/Re100/Re100_10000.npz
It: 11000, Loss: 7.487e-05, l1: 0.970, l2: 0.00993, Time: 19.99
It: 12000, Loss: 6.782e-05, l1: 0.970, l2: 0.00971, Time: 20.25
It: 13000, Loss: 1.355e-04, l1: 0.969, l2: 0.00959, Time: 20.08
It: 14000, Loss: 9.802e-05, l1: 0.968, l2: 0.00930, Time: 20.06
It: 15000, Loss: 8.210e-05, l1: 0.967, l2: 0.00914, Time: 19.98
It: 16000, Loss: 7.270e-05, l1: 0.967, l2: 0.00896, Time: 19.96
It: 17000, Loss: 5.800e-05, l1: 0.966, l2: 0.00878, Time: 20.04
It: 18000, Loss: 5.684e-05, l1: 0.965, l2: 0.00861, Time: 19.97
It: 19000, Loss: 7.984e-05, l1: 0.964, l2: 0.00849, Time: 20.01
It: 20000, Loss: 6.316e-05, l1: 0.964, l2: 0.00832, Time: 20.03
Model saved to models/Re100/Re100_20000.npz
It: 21000, Loss: 9.462e-05, l1: 0.963, l2: 0.00817, Time: 20.00
It: 22000, Loss: 1.256e-04, l1: 0.963, l2: 0.00811, Time: 19.93
It: 23000, Loss: 5.642e-05, l1: 0.962, l2: 0.00788, Time: 20.02
It: 24000, Loss: 5.745e-05, l1: 0.961, l2: 0.00775, Time: 19.95
It: 25000, Loss: 5.713e-05, l1: 0.960, l2: 0.00762, Time: 19.99
It: 26000, Loss: 9.183e-05, l1: 0.960, l2: 0.00749, Time: 20.00
It: 27000, Loss: 1.092e-04, l1: 0.959, l2: 0.00735, Time: 19.98
It: 28000, Loss: 1.051e-04, l1: 0.958, l2: 0.00733, Time: 20.06
It: 29000, Loss: 4.777e-05, l1: 0.958, l2: 0.00711, Time: 20.04
It: 30000, Loss: 1.106e-04, l1: 0.957, l2: 0.00714, Time: 19.96
Model saved to models/Re100/Re100_30000.npz
It: 31000, Loss: 6.601e-05, l1: 0.956, l2: 0.00695, Time: 20.13
It: 32000, Loss: 4.794e-05, l1: 0.956, l2: 0.00682, Time: 20.03
It: 33000, Loss: 1.294e-04, l1: 0.956, l2: 0.00682, Time: 19.98
It: 34000, Loss: 9.552e-05, l1: 0.955, l2: 0.00654, Time: 20.20
It: 35000, Loss: 4.744e-05, l1: 0.954, l2: 0.00655, Time: 20.03
It: 36000, Loss: 4.561e-05, l1: 0.954, l2: 0.00646, Time: 20.02
It: 37000, Loss: 9.577e-05, l1: 0.953, l2: 0.00640, Time: 20.03
It: 38000, Loss: 9.223e-05, l1: 0.953, l2: 0.00638, Time: 20.02
It: 39000, Loss: 7.534e-05, l1: 0.952, l2: 0.00627, Time: 20.05
It: 40000, Loss: 4.442e-05, l1: 0.952, l2: 0.00614, Time: 20.08
Model saved to models/Re100/Re100_40000.npz
It: 41000, Loss: 8.671e-05, l1: 0.951, l2: 0.00611, Time: 20.08
It: 42000, Loss: 5.091e-05, l1: 0.951, l2: 0.00603, Time: 20.16
It: 43000, Loss: 5.696e-05, l1: 0.950, l2: 0.00594, Time: 20.05
It: 44000, Loss: 4.870e-05, l1: 0.949, l2: 0.00588, Time: 20.02
It: 45000, Loss: 1.190e-04, l1: 0.949, l2: 0.00588, Time: 19.95
It: 46000, Loss: 5.030e-05, l1: 0.949, l2: 0.00577, Time: 20.10
It: 47000, Loss: 1.163e-04, l1: 0.948, l2: 0.00573, Time: 20.10
It: 48000, Loss: 4.125e-05, l1: 0.948, l2: 0.00565, Time: 19.99
It: 49000, Loss: 4.107e-05, l1: 0.947, l2: 0.00558, Time: 20.07
It: 50000, Loss: 6.671e-05, l1: 0.947, l2: 0.00552, Time: 20.19
Model saved to models/Re100/Re100_50000.npz
It: 51000, Loss: 6.448e-05, l1: 0.946, l2: 0.00551, Time: 20.04
It: 52000, Loss: 7.808e-05, l1: 0.946, l2: 0.00544, Time: 19.98
It: 53000, Loss: 1.263e-04, l1: 0.945, l2: 0.00548, Time: 20.19
It: 54000, Loss: 4.842e-05, l1: 0.945, l2: 0.00535, Time: 20.02
