Running SLURM prolog script on pink54.cluster.local
===============================================================================
Job started on Tue Mar 25 17:45:57 GMT 2025
Job ID          : 7231052
Job name        : Re100wcp_TLnyq4snap
WorkDir         : /mainfs/lyceum/fe1g22
Command         : /mainfs/lyceum/fe1g22/TL-PINN-training.slurm
Partition       : lyceum
Num hosts       : 1
Num cores       : 8
Num of tasks    : 1
Hosts allocated : pink54
Job Output Follows ...
===============================================================================
Tue Mar 25 17:46:01 2025       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.104.05             Driver Version: 535.104.05   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA GeForce GTX 1080 Ti     Off | 00000000:03:00.0 Off |                  N/A |
| 23%   22C    P8               8W / 250W |      0MiB / 11264MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
/mainfs/lyceum/fe1g22/TL-PINNs/pinn/model_wcp.py:189: RuntimeWarning: More than 20 figures have been opened. Figures created through the pyplot interface (`matplotlib.pyplot.figure`) are retained until explicitly closed and may consume too much memory. (To control this warning, see the rcParam `figure.max_open_warning`).
  plt.figure(figsize=(12, 8))
GPU detected and configured.
Configuration loaded.
Loading cached data from temp/data_re150_15x5x4.npz
Data loaded from temp/data_re150_15x5x4.npz
Animation saved as plots/Re100wcp_TLnyq4snap150_[1, 2]//Re100wcp_TLnyq4snap150_training_data.gif
Found 10 models.
Processing model: models/Re100wcp/Re100wcp_10000.npz
Model loaded from models/Re100wcp/Re100wcp_10000.npz
Frozen Layers: [1, 2]
Training Model...
It: 0, Loss: 1.255e-02, l1: 1.074, l2: 0.00812, Time: 13.74
It: 1000, Loss: 1.123e-03, l1: 1.004, l2: 0.00823, Time: 20.76
It: 2000, Loss: 7.926e-04, l1: 1.005, l2: 0.00766, Time: 20.84
It: 3000, Loss: 6.463e-04, l1: 1.007, l2: 0.00742, Time: 20.88
It: 4000, Loss: 5.570e-04, l1: 1.008, l2: 0.00727, Time: 21.22
It: 5000, Loss: 5.036e-04, l1: 1.009, l2: 0.00717, Time: 21.58
It: 6000, Loss: 4.591e-04, l1: 1.010, l2: 0.00713, Time: 20.21
It: 7000, Loss: 4.396e-04, l1: 1.011, l2: 0.00703, Time: 20.31
It: 8000, Loss: 3.914e-04, l1: 1.011, l2: 0.00703, Time: 20.33
It: 9000, Loss: 3.738e-04, l1: 1.012, l2: 0.00701, Time: 20.14
It: 10000, Loss: 3.555e-04, l1: 1.012, l2: 0.00704, Time: 20.17
Model saved to models/Re100wcp/Re100wcp_10000.npz
It: 11000, Loss: 3.477e-04, l1: 1.012, l2: 0.00704, Time: 20.25
It: 12000, Loss: 3.188e-04, l1: 1.012, l2: 0.00705, Time: 20.29
It: 13000, Loss: 3.228e-04, l1: 1.012, l2: 0.00704, Time: 20.18
It: 14000, Loss: 3.036e-04, l1: 1.012, l2: 0.00710, Time: 20.15
It: 15000, Loss: 2.932e-04, l1: 1.012, l2: 0.00708, Time: 20.14
It: 16000, Loss: 2.748e-04, l1: 1.012, l2: 0.00709, Time: 20.17
It: 17000, Loss: 3.139e-04, l1: 1.012, l2: 0.00709, Time: 20.22
It: 18000, Loss: 2.674e-04, l1: 1.012, l2: 0.00712, Time: 20.27
It: 19000, Loss: 2.668e-04, l1: 1.012, l2: 0.00715, Time: 20.23
It: 20000, Loss: 2.834e-04, l1: 1.011, l2: 0.00719, Time: 20.25
Model saved to models/Re100wcp/Re100wcp_20000.npz
It: 21000, Loss: 3.129e-04, l1: 1.011, l2: 0.00721, Time: 20.33
It: 22000, Loss: 3.079e-04, l1: 1.011, l2: 0.00719, Time: 20.26
It: 23000, Loss: 2.293e-04, l1: 1.011, l2: 0.00714, Time: 20.28
It: 24000, Loss: 2.521e-04, l1: 1.011, l2: 0.00714, Time: 20.26
