Running SLURM prolog script on pink51.cluster.local
===============================================================================
Job started on Wed Apr  2 12:27:34 BST 2025
Job ID          : 7255395
Job name        : Re100wcp_TLwcp150
WorkDir         : /mainfs/lyceum/fe1g22
Command         : /mainfs/lyceum/fe1g22/TL-PINN-training.slurm
Partition       : lyceum
Num hosts       : 1
Num cores       : 8
Num of tasks    : 1
Hosts allocated : pink51
Job Output Follows ...
===============================================================================
Wed Apr  2 12:27:42 2025       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.104.05             Driver Version: 535.104.05   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA GeForce GTX 1080 Ti     Off | 00000000:83:00.0 Off |                  N/A |
| 23%   20C    P8               8W / 250W |      0MiB / 11264MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
GPU detected and configured.
Configuration loaded.
Data processing began for Reynolds number: 150
Processing time steps:   0%|          | 0/10 [00:00<?, ?it/s]Processing time steps:  10%|█         | 1/10 [00:00<00:07,  1.17it/s]Processing time steps:  20%|██        | 2/10 [00:01<00:06,  1.20it/s]Processing time steps:  30%|███       | 3/10 [00:02<00:05,  1.24it/s]Processing time steps:  40%|████      | 4/10 [00:03<00:04,  1.27it/s]Processing time steps:  50%|█████     | 5/10 [00:04<00:03,  1.26it/s]Processing time steps:  60%|██████    | 6/10 [00:04<00:03,  1.25it/s]Processing time steps:  70%|███████   | 7/10 [00:05<00:02,  1.24it/s]Processing time steps:  80%|████████  | 8/10 [00:06<00:01,  1.25it/s]Processing time steps:  90%|█████████ | 9/10 [00:07<00:00,  1.26it/s]Processing time steps: 100%|██████████| 10/10 [00:07<00:00,  1.28it/s]Processing time steps: 100%|██████████| 10/10 [00:07<00:00,  1.26it/s]
/mainfs/lyceum/fe1g22/TL-PINNs/pinn/model_wcp.py:189: RuntimeWarning: More than 20 figures have been opened. Figures created through the pyplot interface (`matplotlib.pyplot.figure`) are retained until explicitly closed and may consume too much memory. (To control this warning, see the rcParam `figure.max_open_warning`).
  plt.figure(figsize=(12, 8))
Data processing completed for Reynolds number: 150
Processed data saved to temp/data_re150_35x15x10.npz
Animation saved as plots/Re100wcp_TLwcp150_[1, 2]//Re100wcp_TLwcp150_training_data.gif
Found 10 models.
Processing model: models/Re100wcp/Re100wcp_10000.npz
Model loaded from models/Re100wcp/Re100wcp_10000.npz
Frozen Layers: [1, 2]
Training Model...
It: 0, Loss: 2.189e-02, l1: 1.032, l2: 0.00829, Time: 13.05
It: 1000, Loss: 2.835e-03, l1: 1.059, l2: 0.00818, Time: 21.49
It: 2000, Loss: 2.306e-03, l1: 1.064, l2: 0.00974, Time: 21.25
It: 3000, Loss: 2.041e-03, l1: 1.068, l2: 0.01037, Time: 21.31
It: 4000, Loss: 1.926e-03, l1: 1.070, l2: 0.01082, Time: 20.91
It: 5000, Loss: 1.787e-03, l1: 1.070, l2: 0.01117, Time: 20.80
It: 6000, Loss: 1.710e-03, l1: 1.070, l2: 0.01133, Time: 20.72
It: 7000, Loss: 1.634e-03, l1: 1.070, l2: 0.01152, Time: 20.75
It: 8000, Loss: 1.578e-03, l1: 1.070, l2: 0.01173, Time: 21.10
It: 9000, Loss: 1.555e-03, l1: 1.070, l2: 0.01189, Time: 20.70
It: 10000, Loss: 1.546e-03, l1: 1.071, l2: 0.01195, Time: 20.98
Model saved to models/Re100wcp/Re100wcp_10000.npz
It: 11000, Loss: 1.501e-03, l1: 1.071, l2: 0.01210, Time: 21.03
It: 12000, Loss: 1.453e-03, l1: 1.071, l2: 0.01226, Time: 20.89
It: 13000, Loss: 1.422e-03, l1: 1.071, l2: 0.01227, Time: 20.95
It: 14000, Loss: 1.421e-03, l1: 1.072, l2: 0.01247, Time: 20.84
It: 15000, Loss: 1.366e-03, l1: 1.072, l2: 0.01247, Time: 20.56
It: 16000, Loss: 1.360e-03, l1: 1.072, l2: 0.01255, Time: 20.31
It: 17000, Loss: 1.335e-03, l1: 1.073, l2: 0.01263, Time: 20.30
It: 18000, Loss: 1.326e-03, l1: 1.073, l2: 0.01266, Time: 20.30
It: 19000, Loss: 1.307e-03, l1: 1.073, l2: 0.01268, Time: 20.34
It: 20000, Loss: 1.297e-03, l1: 1.074, l2: 0.01274, Time: 20.41
Model saved to models/Re100wcp/Re100wcp_20000.npz
It: 21000, Loss: 1.258e-03, l1: 1.074, l2: 0.01278, Time: 20.39
It: 22000, Loss: 1.273e-03, l1: 1.074, l2: 0.01280, Time: 20.33
It: 23000, Loss: 1.242e-03, l1: 1.074, l2: 0.01288, Time: 20.52
It: 24000, Loss: 1.217e-03, l1: 1.074, l2: 0.01292, Time: 20.39
It: 25000, Loss: 1.223e-03, l1: 1.074, l2: 0.01292, Time: 20.49
It: 26000, Loss: 1.202e-03, l1: 1.074, l2: 0.01295, Time: 20.42
It: 27000, Loss: 1.259e-03, l1: 1.075, l2: 0.01300, Time: 20.39
It: 28000, Loss: 1.175e-03, l1: 1.075, l2: 0.01300, Time: 20.39
It: 29000, Loss: 1.169e-03, l1: 1.075, l2: 0.01302, Time: 20.37
It: 30000, Loss: 1.146e-03, l1: 1.074, l2: 0.01304, Time: 20.38
Model saved to models/Re100wcp/Re100wcp_30000.npz
It: 31000, Loss: 1.241e-03, l1: 1.075, l2: 0.01308, Time: 20.41
It: 32000, Loss: 1.144e-03, l1: 1.075, l2: 0.01308, Time: 20.33
It: 33000, Loss: 1.112e-03, l1: 1.075, l2: 0.01310, Time: 20.38
