Running SLURM prolog script on pink51.cluster.local
===============================================================================
Job started on Sun Mar  2 17:49:20 GMT 2025
Job ID          : 7126558
Job name        : Re100wcp_redTL150
WorkDir         : /mainfs/lyceum/fe1g22
Command         : /mainfs/lyceum/fe1g22/TL-PINN-training.slurm
Partition       : lyceum
Num hosts       : 1
Num cores       : 8
Num of tasks    : 1
Hosts allocated : pink51
Job Output Follows ...
===============================================================================
Sun Mar  2 17:49:24 2025       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.104.05             Driver Version: 535.104.05   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA GeForce GTX 1080 Ti     Off | 00000000:03:00.0 Off |                  N/A |
| 23%   28C    P8               9W / 250W |      0MiB / 11264MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
GPU detected and configured.
Configuration loaded.
Loading cached data from temp/data_re150_25x10x5.npz
Data loaded from temp/data_re150_25x10x5.npz
Found 10 models.
Processing model: models/Re100wcp/Re100wcp_10000.npz
Model loaded from models/Re100wcp/Re100wcp_10000.npz
Frozen Layers: [1, 2]
Training Model...
It: 0, Loss: 6.521e-03, l1: 1.067, l2: 0.00818, Time: 11.12
It: 1000, Loss: 1.646e-03, l1: 1.063, l2: 0.00879, Time: 20.62
It: 2000, Loss: 1.361e-03, l1: 1.066, l2: 0.00874, Time: 22.75
It: 3000, Loss: 1.264e-03, l1: 1.067, l2: 0.00871, Time: 23.20
It: 4000, Loss: 1.129e-03, l1: 1.069, l2: 0.00880, Time: 23.28
It: 5000, Loss: 1.147e-03, l1: 1.071, l2: 0.00890, Time: 22.63
It: 6000, Loss: 9.888e-04, l1: 1.072, l2: 0.00882, Time: 22.34
It: 7000, Loss: 9.527e-04, l1: 1.073, l2: 0.00880, Time: 22.45
It: 8000, Loss: 9.905e-04, l1: 1.075, l2: 0.00869, Time: 21.78
It: 9000, Loss: 9.857e-04, l1: 1.076, l2: 0.00857, Time: 21.72
It: 10000, Loss: 9.450e-04, l1: 1.077, l2: 0.00864, Time: 22.39
Model saved to models/Re100wcp/Re100wcp_10000.npz
It: 11000, Loss: 8.956e-04, l1: 1.078, l2: 0.00850, Time: 22.14
It: 12000, Loss: 8.054e-04, l1: 1.078, l2: 0.00852, Time: 22.24
It: 13000, Loss: 8.779e-04, l1: 1.079, l2: 0.00841, Time: 22.12
It: 14000, Loss: 7.561e-04, l1: 1.079, l2: 0.00846, Time: 22.44
It: 15000, Loss: 9.218e-04, l1: 1.080, l2: 0.00835, Time: 22.26
It: 16000, Loss: 7.291e-04, l1: 1.080, l2: 0.00840, Time: 22.49
It: 17000, Loss: 7.277e-04, l1: 1.080, l2: 0.00845, Time: 22.32
It: 18000, Loss: 7.919e-04, l1: 1.081, l2: 0.00850, Time: 22.17
It: 19000, Loss: 6.992e-04, l1: 1.081, l2: 0.00850, Time: 22.40
