Running SLURM prolog script on pink54.cluster.local
===============================================================================
Job started on Sat Mar 15 12:47:09 GMT 2025
Job ID          : 7185946
Job name        : Re100wcplong
WorkDir         : /mainfs/lyceum/fe1g22
Command         : /mainfs/lyceum/fe1g22/TL-PINN-training.slurm
Partition       : lyceum
Num hosts       : 1
Num cores       : 8
Num of tasks    : 1
Hosts allocated : pink54
Job Output Follows ...
===============================================================================
Sat Mar 15 12:47:15 2025       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.104.05             Driver Version: 535.104.05   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA GeForce GTX 1080 Ti     Off | 00000000:03:00.0 Off |                  N/A |
| 23%   22C    P8               7W / 250W |      0MiB / 11264MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
GPU detected and configured.
Configuration loaded.
Data processing began for Reynolds number: 100
Processing time steps:   0%|          | 0/40 [00:00<?, ?it/s]Processing time steps:   2%|▎         | 1/40 [00:01<00:45,  1.18s/it]Processing time steps:   5%|▌         | 2/40 [00:02<00:43,  1.15s/it]Processing time steps:   8%|▊         | 3/40 [00:03<00:42,  1.15s/it]Processing time steps:  10%|█         | 4/40 [00:04<00:41,  1.15s/it]Processing time steps:  12%|█▎        | 5/40 [00:05<00:39,  1.14s/it]Processing time steps:  15%|█▌        | 6/40 [00:06<00:38,  1.13s/it]Processing time steps:  18%|█▊        | 7/40 [00:07<00:37,  1.13s/it]Processing time steps:  20%|██        | 8/40 [00:09<00:35,  1.12s/it]Processing time steps:  22%|██▎       | 9/40 [00:10<00:34,  1.13s/it]Processing time steps:  25%|██▌       | 10/40 [00:11<00:34,  1.13s/it]Processing time steps:  28%|██▊       | 11/40 [00:12<00:32,  1.13s/it]Processing time steps:  30%|███       | 12/40 [00:13<00:31,  1.13s/it]Processing time steps:  32%|███▎      | 13/40 [00:14<00:30,  1.12s/it]Processing time steps:  35%|███▌      | 14/40 [00:15<00:29,  1.13s/it]Processing time steps:  38%|███▊      | 15/40 [00:16<00:28,  1.13s/it]Processing time steps:  40%|████      | 16/40 [00:18<00:27,  1.14s/it]Processing time steps:  42%|████▎     | 17/40 [00:19<00:26,  1.15s/it]Processing time steps:  45%|████▌     | 18/40 [00:20<00:25,  1.15s/it]Processing time steps:  48%|████▊     | 19/40 [00:21<00:24,  1.16s/it]Processing time steps:  50%|█████     | 20/40 [00:22<00:23,  1.16s/it]Processing time steps:  52%|█████▎    | 21/40 [00:24<00:22,  1.17s/it]Processing time steps:  55%|█████▌    | 22/40 [00:25<00:20,  1.17s/it]Processing time steps:  57%|█████▊    | 23/40 [00:26<00:19,  1.16s/it]Processing time steps:  60%|██████    | 24/40 [00:27<00:18,  1.16s/it]Processing time steps:  62%|██████▎   | 25/40 [00:28<00:17,  1.16s/it]Processing time steps:  65%|██████▌   | 26/40 [00:29<00:16,  1.16s/it]Processing time steps:  68%|██████▊   | 27/40 [00:30<00:15,  1.15s/it]Processing time steps:  70%|███████   | 28/40 [00:32<00:13,  1.16s/it]Processing time steps:  72%|███████▎  | 29/40 [00:33<00:12,  1.16s/it]Processing time steps:  75%|███████▌  | 30/40 [00:34<00:11,  1.15s/it]Processing time steps:  78%|███████▊  | 31/40 [00:35<00:10,  1.15s/it]Processing time steps:  80%|████████  | 32/40 [00:36<00:09,  1.15s/it]Processing time steps:  82%|████████▎ | 33/40 [00:37<00:08,  1.14s/it]Processing time steps:  85%|████████▌ | 34/40 [00:38<00:06,  1.14s/it]Processing time steps:  88%|████████▊ | 35/40 [00:40<00:05,  1.14s/it]Processing time steps:  90%|█████████ | 36/40 [00:41<00:04,  1.13s/it]Processing time steps:  92%|█████████▎| 37/40 [00:42<00:03,  1.13s/it]Processing time steps:  95%|█████████▌| 38/40 [00:43<00:02,  1.14s/it]Processing time steps:  98%|█████████▊| 39/40 [00:44<00:01,  1.14s/it]Processing time steps: 100%|██████████| 40/40 [00:45<00:00,  1.15s/it]Processing time steps: 100%|██████████| 40/40 [00:45<00:00,  1.14s/it]
Data processing completed for Reynolds number: 100
Processed data saved to temp/data_re100_35x15x40.npz
Animation saved as plots/Re100wcplong/Re100wcplong_training_data.gif
Frozen Layers: []
Training Model...
It: 0, Loss: 8.007e-01, l1: -0.000, l2: 0.00099, Time: 16.33
It: 1000, Loss: 8.442e-02, l1: 0.003, l2: -0.00006, Time: 28.03
It: 2000, Loss: 8.420e-02, l1: -0.004, l2: -0.00024, Time: 27.41
It: 3000, Loss: 8.468e-02, l1: -0.005, l2: -0.00027, Time: 27.26
It: 4000, Loss: 8.390e-02, l1: -0.006, l2: -0.00011, Time: 27.29
It: 5000, Loss: 8.375e-02, l1: -0.004, l2: -0.00013, Time: 27.47
It: 6000, Loss: 8.373e-02, l1: -0.004, l2: -0.00013, Time: 27.42
It: 7000, Loss: 8.371e-02, l1: -0.005, l2: -0.00014, Time: 27.42
It: 8000, Loss: 8.370e-02, l1: -0.005, l2: -0.00017, Time: 27.43
It: 9000, Loss: 8.368e-02, l1: -0.007, l2: -0.00023, Time: 27.43
It: 10000, Loss: 8.366e-02, l1: -0.007, l2: -0.00025, Time: 27.50
Model saved to models/Re100wcplong/Re100wcplong_10000.npz
It: 11000, Loss: 8.363e-02, l1: -0.007, l2: -0.00025, Time: 27.62
It: 12000, Loss: 8.349e-02, l1: -0.005, l2: -0.00015, Time: 27.38
It: 13000, Loss: 8.342e-02, l1: -0.004, l2: -0.00008, Time: 27.33
It: 14000, Loss: 8.339e-02, l1: -0.004, l2: -0.00010, Time: 27.27
It: 15000, Loss: 8.337e-02, l1: -0.003, l2: -0.00011, Time: 27.29
It: 16000, Loss: 8.335e-02, l1: -0.003, l2: -0.00011, Time: 27.30
It: 17000, Loss: 8.334e-02, l1: -0.003, l2: -0.00012, Time: 27.29
It: 18000, Loss: 8.333e-02, l1: -0.002, l2: -0.00010, Time: 27.47
It: 19000, Loss: 8.332e-02, l1: -0.002, l2: -0.00010, Time: 27.39
It: 20000, Loss: 8.436e-02, l1: -0.002, l2: -0.00022, Time: 27.33
Model saved to models/Re100wcplong/Re100wcplong_20000.npz
It: 21000, Loss: 8.330e-02, l1: -0.002, l2: -0.00009, Time: 27.29
It: 22000, Loss: 8.330e-02, l1: -0.002, l2: -0.00009, Time: 27.33
It: 23000, Loss: 8.329e-02, l1: -0.002, l2: -0.00011, Time: 27.33
It: 24000, Loss: 8.328e-02, l1: -0.001, l2: -0.00009, Time: 27.23
It: 25000, Loss: 8.328e-02, l1: -0.001, l2: -0.00013, Time: 27.26
It: 26000, Loss: 8.327e-02, l1: -0.001, l2: -0.00008, Time: 27.24
It: 27000, Loss: 8.326e-02, l1: -0.001, l2: -0.00008, Time: 27.32
It: 28000, Loss: 8.324e-02, l1: -0.000, l2: -0.00007, Time: 27.36
It: 29000, Loss: 8.323e-02, l1: 0.000, l2: -0.00006, Time: 27.39
It: 30000, Loss: 8.320e-02, l1: 0.001, l2: -0.00005, Time: 27.34
Model saved to models/Re100wcplong/Re100wcplong_30000.npz
It: 31000, Loss: 8.316e-02, l1: 0.001, l2: -0.00005, Time: 27.35
It: 32000, Loss: 8.308e-02, l1: 0.001, l2: -0.00006, Time: 27.25
It: 33000, Loss: 8.257e-02, l1: 0.007, l2: -0.00008, Time: 27.21
It: 34000, Loss: 8.045e-02, l1: 0.105, l2: 0.00301, Time: 27.22
It: 35000, Loss: 7.629e-02, l1: 0.750, l2: 0.02820, Time: 27.20
It: 36000, Loss: 7.105e-02, l1: 0.857, l2: 0.03032, Time: 27.21
It: 37000, Loss: 6.789e-02, l1: 0.849, l2: 0.03131, Time: 27.25
It: 38000, Loss: 6.492e-02, l1: 0.860, l2: 0.03061, Time: 27.26
It: 39000, Loss: 6.345e-02, l1: 0.888, l2: 0.03008, Time: 27.42
It: 40000, Loss: 6.116e-02, l1: 0.911, l2: 0.03049, Time: 27.25
Model saved to models/Re100wcplong/Re100wcplong_40000.npz
It: 41000, Loss: 5.917e-02, l1: 0.933, l2: 0.03313, Time: 27.27
It: 42000, Loss: 5.783e-02, l1: 0.932, l2: 0.03458, Time: 27.26
It: 43000, Loss: 5.659e-02, l1: 0.929, l2: 0.03407, Time: 27.24
It: 44000, Loss: 5.372e-02, l1: 0.922, l2: 0.03165, Time: 27.20
It: 45000, Loss: 5.084e-02, l1: 0.922, l2: 0.03116, Time: 27.27
It: 46000, Loss: 4.992e-02, l1: 0.925, l2: 0.03138, Time: 27.25
It: 47000, Loss: 4.918e-02, l1: 0.923, l2: 0.03125, Time: 27.19
It: 48000, Loss: 4.840e-02, l1: 0.922, l2: 0.03118, Time: 27.22
It: 49000, Loss: 4.759e-02, l1: 0.920, l2: 0.03101, Time: 27.21
It: 50000, Loss: 4.719e-02, l1: 0.917, l2: 0.03068, Time: 27.19
Model saved to models/Re100wcplong/Re100wcplong_50000.npz
It: 51000, Loss: 4.666e-02, l1: 0.918, l2: 0.03084, Time: 27.18
It: 52000, Loss: 4.542e-02, l1: 0.919, l2: 0.03087, Time: 27.22
It: 53000, Loss: 4.391e-02, l1: 0.918, l2: 0.03049, Time: 27.26
