Model Path,MSE_u,MSE_v,Relative Error_u (%),Relative Error_v (%),Residual_u (%),Residual_v (%),Lambda1,Lambda2,Error Lambda1,Error Lambda2
models/100_wcp/100_wcp_1000.npz,1.764941e-02,5.575562e-02,14.81%,84.96%,5.378249e-03,5.099752e-03,0.017777,0.003901,98.22%,60.99%
models/100_wcp/100_wcp_10000.npz,3.051830e-03,6.280213e-03,6.16%,28.52%,6.891412e-02,9.621082e-02,0.895424,0.014464,10.46%,44.64%
models/100_wcp/100_wcp_2000.npz,1.364908e-02,4.215900e-02,13.03%,73.88%,7.911299e-03,1.165059e-02,-0.025303,0.000859,102.53%,91.41%
models/100_wcp/100_wcp_3000.npz,1.018678e-02,2.574788e-02,11.25%,57.74%,1.807363e-02,3.532769e-02,0.038376,0.004222,96.16%,57.78%
models/100_wcp/100_wcp_4000.npz,9.351915e-03,2.190494e-02,10.78%,53.25%,2.322060e-02,4.668105e-02,0.085150,0.004885,91.48%,51.15%
models/100_wcp/100_wcp_5000.npz,8.344244e-03,1.987401e-02,10.18%,50.73%,3.045560e-02,6.014226e-02,0.136257,0.008378,86.37%,16.22%
models/100_wcp/100_wcp_6000.npz,5.574053e-03,1.140835e-02,8.32%,38.43%,6.167839e-02,1.075443e-01,0.436451,0.019761,56.35%,97.61%
models/100_wcp/100_wcp_7000.npz,5.213517e-03,1.012566e-02,8.05%,36.21%,8.904133e-02,1.330866e-01,0.762342,0.012103,23.77%,21.03%
models/100_wcp/100_wcp_8000.npz,4.360467e-03,8.753714e-03,7.36%,33.67%,6.883840e-02,1.140018e-01,0.815705,0.001315,18.43%,86.85%
models/100_wcp/100_wcp_9000.npz,3.666141e-03,7.408318e-03,6.75%,30.97%,6.632712e-02,1.091554e-01,0.856584,0.005896,14.34%,41.04%
