Model Path,MSE_u,MSE_v,Relative Error_u (%),Relative Error_v (%),Residual_u (%),Residual_v (%),Lambda1,Lambda2,Error Lambda1,Error Lambda2
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%
models/Re100wcp/Re100wcp_20000.npz,6.941775e-04,2.170680e-03,2.94%,16.76%,3.566734e-02,3.041951e-02,0.981684,0.011964,1.83%,19.64%
models/Re100wcp/Re100wcp_30000.npz,3.992160e-04,1.373762e-03,2.23%,13.34%,2.744281e-02,2.794630e-02,0.987204,0.011525,1.28%,15.25%
models/Re100wcp/Re100wcp_40000.npz,3.923359e-04,1.027893e-03,2.21%,11.54%,2.520451e-02,2.740122e-02,0.989539,0.011491,1.05%,14.91%
models/Re100wcp/Re100wcp_50000.npz,2.700882e-04,9.065861e-04,1.83%,10.83%,2.426448e-02,2.427624e-02,0.990684,0.011544,0.93%,15.44%
models/Re100wcp/Re100wcp_60000.npz,2.525265e-04,8.389327e-04,1.77%,10.42%,2.315297e-02,2.339521e-02,0.991957,0.011670,0.80%,16.70%
models/Re100wcp/Re100wcp_70000.npz,8.712062e-05,4.797052e-04,1.04%,7.88%,2.193501e-02,2.394690e-02,0.992986,0.011624,0.70%,16.24%
models/Re100wcp/Re100wcp_80000.npz,4.187400e-04,3.681863e-04,2.28%,6.90%,2.118421e-02,2.372875e-02,0.994037,0.011534,0.60%,15.34%
models/Re100wcp/Re100wcp_90000.npz,6.393891e-05,1.849415e-04,0.89%,4.89%,2.051070e-02,2.189042e-02,0.994412,0.011529,0.56%,15.29%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%
models/Re100wcp/Re100wcp_20000.npz,6.941775e-04,2.170680e-03,2.94%,16.76%,3.566734e-02,3.041951e-02,0.981684,0.011964,1.83%,19.64%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%

"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_100000_TL150_100000.npz",7.533778e-02,1.071416e-01,30.60%,117.78%,5.881308e-02,4.961468e-02,1.024418,0.007060,2.44%,29.40%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_10000_TL150_100000.npz",6.506832e-02,1.050330e-01,28.44%,116.61%,6.770819e-02,3.417701e-02,1.005817,0.006702,0.58%,32.98%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_20000_TL150_100000.npz",8.175064e-02,1.048709e-01,31.88%,116.52%,6.691421e-02,4.611907e-02,0.986932,0.006091,1.31%,39.09%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_30000_TL150_100000.npz",7.527234e-02,1.052473e-01,30.59%,116.73%,5.496718e-02,4.287189e-02,0.988683,0.007988,1.13%,20.12%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_40000_TL150_100000.npz",7.324423e-02,1.072019e-01,30.17%,117.81%,5.179818e-02,3.711160e-02,0.999185,0.008251,0.08%,17.49%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_100000_TL150_100000.npz",7.533778e-02,1.071416e-01,30.60%,117.78%,5.881308e-02,4.961468e-02,1.024418,0.007060,2.44%,29.40%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_10000_TL150_100000.npz",6.506832e-02,1.050330e-01,28.44%,116.61%,6.770819e-02,3.417701e-02,1.005817,0.006702,0.58%,32.98%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_20000_TL150_100000.npz",8.175064e-02,1.048709e-01,31.88%,116.52%,6.691421e-02,4.611907e-02,0.986932,0.006091,1.31%,39.09%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_30000_TL150_100000.npz",7.527234e-02,1.052473e-01,30.59%,116.73%,5.496718e-02,4.287189e-02,0.988683,0.007988,1.13%,20.12%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_40000_TL150_100000.npz",7.324423e-02,1.072019e-01,30.17%,117.81%,5.179818e-02,3.711160e-02,0.999185,0.008251,0.08%,17.49%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_50000_TL150_100000.npz",7.394140e-02,1.069972e-01,30.32%,117.70%,4.907497e-02,3.326546e-02,0.977451,0.008444,2.25%,15.56%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_60000_TL150_100000.npz",7.418509e-02,1.064593e-01,30.37%,117.40%,3.685673e-02,4.032533e-02,0.988012,0.007494,1.20%,25.06%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_70000_TL150_100000.npz",7.404297e-02,1.056129e-01,30.34%,116.94%,4.426541e-02,3.580508e-02,0.978744,0.009312,2.13%,6.88%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_80000_TL150_100000.npz",6.834483e-02,1.075112e-01,29.15%,117.98%,6.168357e-02,4.425687e-02,0.974182,0.010362,2.58%,3.62%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_90000_TL150_100000.npz",7.008763e-02,1.049993e-01,29.52%,116.60%,4.637470e-02,3.110077e-02,0.989872,0.008485,1.01%,15.15%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_100000_TL150_100000.npz",7.533778e-02,1.071416e-01,30.60%,117.78%,5.881308e-02,4.961468e-02,1.024418,0.007060,2.44%,29.40%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_100000_TL150_100000.npz",7.533778e-02,1.071416e-01,30.60%,117.78%,5.881308e-02,4.961468e-02,1.024418,0.007060,2.44%,29.40%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%
models/Re100wcp/Re100wcp_20000.npz,6.941775e-04,2.170680e-03,2.94%,16.76%,3.566734e-02,3.041951e-02,0.981684,0.011964,1.83%,19.64%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%
models/Re100wcp/Re100wcp_20000.npz,6.941775e-04,2.170680e-03,2.94%,16.76%,3.566734e-02,3.041951e-02,0.981684,0.011964,1.83%,19.64%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%
models/Re100wcp/Re100wcp_20000.npz,6.941775e-04,2.170680e-03,2.94%,16.76%,3.566734e-02,3.041951e-02,0.981684,0.011964,1.83%,19.64%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%
models/Re100wcp/Re100wcp_20000.npz,6.941775e-04,2.170680e-03,2.94%,16.76%,3.566734e-02,3.041951e-02,0.981684,0.011964,1.83%,19.64%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%
models/Re100wcp/Re100wcp_20000.npz,6.941775e-04,2.170680e-03,2.94%,16.76%,3.566734e-02,3.041951e-02,0.981684,0.011964,1.83%,19.64%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%
models/Re100wcp/Re100wcp_20000.npz,6.941775e-04,2.170680e-03,2.94%,16.76%,3.566734e-02,3.041951e-02,0.981684,0.011964,1.83%,19.64%
models/Re100wcp/Re100wcp_30000.npz,3.992160e-04,1.373762e-03,2.23%,13.34%,2.744281e-02,2.794630e-02,0.987204,0.011525,1.28%,15.25%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%
models/Re100wcp/Re100wcp_20000.npz,6.941775e-04,2.170680e-03,2.94%,16.76%,3.566734e-02,3.041951e-02,0.981684,0.011964,1.83%,19.64%
models/Re100wcp/Re100wcp_30000.npz,3.992160e-04,1.373762e-03,2.23%,13.34%,2.744281e-02,2.794630e-02,0.987204,0.011525,1.28%,15.25%
models/Re100wcp/Re100wcp_40000.npz,3.923359e-04,1.027893e-03,2.21%,11.54%,2.520451e-02,2.740122e-02,0.989539,0.011491,1.05%,14.91%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%
models/Re100wcp/Re100wcp_10000.npz,1.432105e-03,3.792265e-03,4.22%,22.16%,3.244187e-02,4.154096e-02,0.960004,0.015330,4.00%,53.30%
models/Re100wcp/Re100wcp_100000.npz,5.326594e-05,9.229461e-05,0.81%,3.46%,2.021625e-02,2.023724e-02,0.995320,0.011522,0.47%,15.22%
models/Re100wcp/Re100wcp_20000.npz,6.941775e-04,2.170680e-03,2.94%,16.76%,3.566734e-02,3.041951e-02,0.981684,0.011964,1.83%,19.64%
models/Re100wcp/Re100wcp_30000.npz,3.992160e-04,1.373762e-03,2.23%,13.34%,2.744281e-02,2.794630e-02,0.987204,0.011525,1.28%,15.25%
models/Re100wcp/Re100wcp_40000.npz,3.923359e-04,1.027893e-03,2.21%,11.54%,2.520451e-02,2.740122e-02,0.989539,0.011491,1.05%,14.91%
models/Re100wcp/Re100wcp_50000.npz,2.700882e-04,9.065861e-04,1.83%,10.83%,2.426448e-02,2.427624e-02,0.990684,0.011544,0.93%,15.44%
models/Re100wcp/Re100wcp_60000.npz,2.525265e-04,8.389327e-04,1.77%,10.42%,2.315297e-02,2.339521e-02,0.991957,0.011670,0.80%,16.70%
models/Re100wcp/Re100wcp_70000.npz,8.712062e-05,4.797052e-04,1.04%,7.88%,2.193501e-02,2.394690e-02,0.992986,0.011624,0.70%,16.24%
models/Re100wcp/Re100wcp_80000.npz,4.187400e-04,3.681863e-04,2.28%,6.90%,2.118421e-02,2.372875e-02,0.994037,0.011534,0.60%,15.34%
models/Re100wcp/Re100wcp_90000.npz,6.393891e-05,1.849415e-04,0.89%,4.89%,2.051070e-02,2.189042e-02,0.994412,0.011529,0.56%,15.29%
