Model Path,MSE_u,MSE_v,Relative Error_u (%),Relative Error_v (%),Residual_u (%),Residual_v (%),Lambda1,Lambda2,Error Lambda1,Error Lambda2
"models/Re100wcp_TLnyq150_[1, 2]/Re100wcp_100000_TL150_100000.npz",1.948887e-04,5.648377e-05,1.65%,2.93%,6.556964e-02,5.161662e-02,1.069272,0.006212,6.93%,6.83%
"models/Re100wcp_TLnyq150_[1, 2]/Re100wcp_10000_TL150_100000.npz",3.149144e-04,4.590634e-05,2.10%,2.64%,7.896263e-02,7.655622e-02,1.069523,0.010741,6.95%,61.12%
"models/Re100wcp_TLnyq150_[1, 2]/Re100wcp_20000_TL150_100000.npz",1.413890e-04,4.695054e-05,1.41%,2.67%,6.211078e-02,4.403665e-02,1.056619,0.006148,5.66%,7.77%
"models/Re100wcp_TLnyq150_[1, 2]/Re100wcp_30000_TL150_100000.npz",2.264640e-04,2.966530e-05,1.78%,2.12%,5.481207e-02,4.433418e-02,1.063039,0.007708,6.30%,15.61%
"models/Re100wcp_TLnyq150_[1, 2]/Re100wcp_40000_TL150_100000.npz",1.637041e-04,3.748597e-05,1.51%,2.39%,6.487951e-02,5.164444e-02,1.050529,0.005785,5.05%,13.22%
"models/Re100wcp_TLnyq150_[1, 2]/Re100wcp_50000_TL150_100000.npz",4.356279e-04,3.157763e-05,2.47%,2.19%,5.916597e-02,4.549040e-02,1.068300,0.007913,6.83%,18.70%
"models/Re100wcp_TLnyq150_[1, 2]/Re100wcp_60000_TL150_100000.npz",4.342441e-04,4.568674e-05,2.47%,2.63%,6.150697e-02,5.508609e-02,1.057921,0.008390,5.79%,25.85%
"models/Re100wcp_TLnyq150_[1, 2]/Re100wcp_70000_TL150_100000.npz",3.509949e-04,3.853533e-05,2.22%,2.42%,6.989474e-02,5.403677e-02,1.071578,0.007699,7.16%,15.49%
"models/Re100wcp_TLnyq150_[1, 2]/Re100wcp_80000_TL150_100000.npz",5.664636e-04,4.731658e-05,2.82%,2.68%,8.786608e-02,7.418896e-02,1.061811,0.005868,6.18%,11.98%
"models/Re100wcp_TLnyq150_[1, 2]/Re100wcp_90000_TL150_100000.npz",3.825716e-04,3.261509e-05,2.32%,2.23%,6.474557e-02,5.161216e-02,1.069584,0.006208,6.96%,6.88%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_100000_TL150_100000.npz",1.787111e-04,9.516597e-05,1.58%,3.80%,6.347020e-02,5.420617e-02,1.094628,0.010873,9.46%,63.10%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_100000_TL150_100000.npz",1.787111e-04,9.516597e-05,1.58%,3.80%,6.347020e-02,5.420617e-02,1.094628,0.010873,9.46%,63.10%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_10000_TL150_100000.npz",4.212854e-04,1.310758e-04,2.43%,4.46%,9.433091e-02,6.958577e-02,1.078566,0.013588,7.86%,103.82%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_20000_TL150_100000.npz",2.422392e-04,7.860342e-05,1.84%,3.46%,7.208593e-02,6.229898e-02,1.070076,0.012018,7.01%,80.28%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_30000_TL150_100000.npz",2.328712e-04,7.244397e-05,1.81%,3.32%,6.846280e-02,5.374347e-02,1.093814,0.012781,9.38%,91.72%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_40000_TL150_100000.npz",2.200834e-04,9.202817e-05,1.76%,3.74%,8.262599e-02,5.316401e-02,1.088549,0.010336,8.85%,55.04%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_50000_TL150_100000.npz",3.049631e-04,9.890973e-05,2.07%,3.88%,8.317415e-02,4.748365e-02,1.085406,0.012818,8.54%,92.27%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_60000_TL150_100000.npz",3.696336e-04,1.417037e-04,2.28%,4.64%,7.360522e-02,7.231051e-02,1.091460,0.012112,9.15%,81.68%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_70000_TL150_100000.npz",2.614739e-04,1.217431e-04,1.91%,4.30%,6.652691e-02,5.002280e-02,1.109631,0.011507,10.96%,72.60%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_80000_TL150_100000.npz",2.934845e-04,1.033216e-04,2.03%,3.96%,6.936536e-02,7.008721e-02,1.091232,0.013772,9.12%,106.59%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_90000_TL150_100000.npz",3.586344e-04,1.167606e-04,2.24%,4.21%,6.685763e-02,5.787171e-02,1.091397,0.011037,9.14%,65.56%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_100000_TL150_100000.npz",1.787111e-04,9.516597e-05,1.58%,3.80%,6.347020e-02,5.420617e-02,1.094628,0.010873,9.46%,63.10%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_10000_TL150_100000.npz",4.212854e-04,1.310758e-04,2.43%,4.46%,9.433091e-02,6.958577e-02,1.078566,0.013588,7.86%,103.82%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_20000_TL150_100000.npz",2.422392e-04,7.860342e-05,1.84%,3.46%,7.208593e-02,6.229898e-02,1.070076,0.012018,7.01%,80.28%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_30000_TL150_100000.npz",2.328712e-04,7.244397e-05,1.81%,3.32%,6.846280e-02,5.374347e-02,1.093814,0.012781,9.38%,91.72%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_40000_TL150_100000.npz",2.200834e-04,9.202817e-05,1.76%,3.74%,8.262599e-02,5.316401e-02,1.088549,0.010336,8.85%,55.04%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_50000_TL150_100000.npz",3.049631e-04,9.890973e-05,2.07%,3.88%,8.317415e-02,4.748365e-02,1.085406,0.012818,8.54%,92.27%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_60000_TL150_100000.npz",3.696336e-04,1.417037e-04,2.28%,4.64%,7.360522e-02,7.231051e-02,1.091460,0.012112,9.15%,81.68%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_70000_TL150_100000.npz",2.614739e-04,1.217431e-04,1.91%,4.30%,6.652691e-02,5.002280e-02,1.109631,0.011507,10.96%,72.60%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_80000_TL150_100000.npz",2.934845e-04,1.033216e-04,2.03%,3.96%,6.936536e-02,7.008721e-02,1.091232,0.013772,9.12%,106.59%
"models/Re100wcp_TLwcp150_[1, 2]/Re100wcp_90000_TL150_100000.npz",3.586344e-04,1.167606e-04,2.24%,4.21%,6.685763e-02,5.787171e-02,1.091397,0.011037,9.14%,65.56%
