Model Path,MSE_u,MSE_v,Relative Error_u (%),Relative Error_v (%),Residual_u (%),Residual_v (%),Lambda1,Lambda2,Error Lambda1,Error Lambda2
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_100000_TL150_100000.npz",1.776739e-03,3.237110e-04,4.99%,7.01%,5.881308e-02,4.961468e-02,1.024418,0.007060,2.44%,5.90%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_10000_TL150_100000.npz",4.275393e-03,1.291102e-04,7.74%,4.43%,6.770819e-02,3.417701e-02,1.005817,0.006702,0.58%,0.53%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_100000_TL150_100000.npz",1.776739e-03,3.237110e-04,4.99%,7.01%,5.881308e-02,4.961468e-02,1.024418,0.007060,2.44%,5.90%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_10000_TL150_100000.npz",4.275393e-03,1.291102e-04,7.74%,4.43%,6.770819e-02,3.417701e-02,1.005817,0.006702,0.58%,0.53%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_100000_TL150_100000.npz",1.776739e-03,3.237110e-04,4.99%,7.01%,5.881308e-02,4.961468e-02,1.024418,0.007060,2.44%,5.90%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_10000_TL150_100000.npz",4.275393e-03,1.291102e-04,7.74%,4.43%,6.770819e-02,3.417701e-02,1.005817,0.006702,0.58%,0.53%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_20000_TL150_100000.npz",6.427212e-03,6.520744e-04,9.49%,9.95%,6.691421e-02,4.611907e-02,0.986932,0.006091,1.31%,8.64%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_30000_TL150_100000.npz",2.699863e-03,2.539086e-04,6.15%,6.21%,5.496718e-02,4.287189e-02,0.988683,0.007988,1.13%,19.82%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_40000_TL150_100000.npz",3.564672e-03,1.465853e-04,7.07%,4.72%,5.179818e-02,3.711160e-02,0.999185,0.008251,0.08%,23.77%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_50000_TL150_100000.npz",1.595364e-03,1.280648e-04,4.73%,4.41%,4.907497e-02,3.326546e-02,0.977451,0.008444,2.25%,26.66%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_60000_TL150_100000.npz",8.129022e-04,7.299698e-05,3.38%,3.33%,3.685673e-02,4.032533e-02,0.988012,0.007494,1.20%,12.42%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_70000_TL150_100000.npz",1.654807e-03,1.214882e-04,4.82%,4.30%,4.426541e-02,3.580508e-02,0.978744,0.009312,2.13%,39.68%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_80000_TL150_100000.npz",5.643129e-03,1.101828e-04,8.89%,4.09%,6.168357e-02,4.425687e-02,0.974182,0.010362,2.58%,55.42%
"models/Re100wcp_TLnyq4snap150_[1, 2]/Re100wcp_90000_TL150_100000.npz",1.678835e-03,1.188474e-04,4.85%,4.25%,4.637470e-02,3.110077e-02,0.989872,0.008485,1.01%,27.28%
