Model Path,MSE_u,MSE_v,Relative Error_u (%),Relative Error_v (%),Residual_u (%),Residual_v (%),Lambda1,Lambda2,Error Lambda1,Error Lambda2
models/Re150/Re150_10000.npz,5.748251e-03,1.759257e-02,8.98%,51.70%,8.616624e-02,1.208396e-01,0.769317,0.013847,23.07%,107.71%
models/Re150/Re150_100000.npz,7.728001e-05,4.344563e-05,1.04%,2.57%,2.241724e-01,2.375497e-01,0.962151,0.003547,3.78%,46.79%
models/Re150/Re150_20000.npz,2.331381e-03,1.310808e-03,5.72%,14.11%,1.311195e-01,1.628649e-01,0.907599,0.012027,9.24%,80.41%
models/Re150/Re150_30000.npz,5.354536e-04,6.472952e-04,2.74%,9.92%,1.506844e-01,1.929150e-01,0.909734,0.003628,9.03%,45.58%
models/Re150/Re150_40000.npz,3.417164e-04,3.085014e-04,2.19%,6.85%,1.852963e-01,1.908032e-01,0.926930,0.005643,7.31%,15.36%
models/Re150/Re150_50000.npz,1.972424e-04,1.211371e-04,1.66%,4.29%,2.181128e-01,2.191608e-01,0.952682,0.005378,4.73%,19.34%
models/Re150/Re150_60000.npz,1.613957e-04,8.224996e-05,1.50%,3.54%,2.191166e-01,2.310156e-01,0.957957,0.004591,4.20%,31.13%
models/Re150/Re150_70000.npz,1.443583e-04,7.525039e-05,1.42%,3.38%,2.218924e-01,2.341248e-01,0.962007,0.003782,3.80%,43.27%
models/Re150/Re150_80000.npz,1.120190e-04,6.174526e-05,1.25%,3.06%,2.241304e-01,2.344491e-01,0.965864,0.003584,3.41%,46.24%
models/Re150/Re150_90000.npz,1.057069e-04,8.007865e-05,1.22%,3.49%,2.266033e-01,2.370484e-01,0.965586,0.003590,3.44%,46.14%
