Model Path,MSE_u,MSE_v,Relative Error_u (%),Relative Error_v (%),Residual_u (%),Residual_v (%),Lambda1,Lambda2,Error Lambda1,Error Lambda2
models/Re150bad/Re150bad_10000.npz,8.118713e-03,2.958799e-04,10.67%,6.70%,3.905691e-03,2.890834e-03,0.047238,0.000148,95.28%,97.78%
models/Re150bad/Re150bad_10000.npz,8.118713e-03,2.958799e-04,10.67%,6.70%,3.905691e-03,2.890834e-03,0.047238,0.000148,95.28%,97.78%
models/Re150bad/Re150bad_100000.npz,2.098937e-03,4.137180e-05,5.42%,2.51%,2.298202e-03,1.894592e-03,0.051082,0.000471,94.89%,92.93%
models/Re150bad/Re150bad_20000.npz,8.569724e-03,1.471704e-04,10.96%,4.73%,3.670880e-03,2.808480e-03,0.049037,0.000271,95.10%,95.93%
models/Re150bad/Re150bad_30000.npz,5.271927e-03,1.061692e-04,8.60%,4.02%,3.379987e-03,2.096895e-03,0.049934,0.000514,95.01%,92.29%
models/Re150bad/Re150bad_40000.npz,2.737600e-03,9.094212e-05,6.19%,3.72%,3.042126e-03,1.933135e-03,0.050082,0.000440,94.99%,93.41%
models/Re150bad/Re150bad_50000.npz,2.497107e-03,6.798319e-05,5.92%,3.21%,2.811945e-03,1.776950e-03,0.050316,0.000430,94.97%,93.55%
models/Re150bad/Re150bad_60000.npz,1.910456e-03,5.232459e-05,5.17%,2.82%,2.567256e-03,1.796036e-03,0.050508,0.000367,94.95%,94.49%
models/Re150bad/Re150bad_70000.npz,2.200604e-03,5.759741e-05,5.55%,2.96%,2.526158e-03,1.900521e-03,0.050940,0.000378,94.91%,94.33%
models/Re150bad/Re150bad_80000.npz,1.953674e-03,4.668198e-05,5.23%,2.66%,2.401928e-03,1.854404e-03,0.050943,0.000445,94.91%,93.32%
models/Re150bad/Re150bad_90000.npz,1.834955e-03,4.147434e-05,5.07%,2.51%,2.337587e-03,1.904818e-03,0.051016,0.000463,94.90%,93.05%
