Model Path,MSE_u,MSE_v,Relative Error_u (%),Relative Error_v (%),Residual_u (%),Residual_v (%),Lambda1,Lambda2,Error Lambda1,Error Lambda2
models/base_150/base_150_1000.npz,2.185227e-02,6.403070e-02,17.50%,98.63%,3.496947e-03,2.941938e-03,0.003470,0.000441,99.65%,93.38%
models/base_150/base_150_2000.npz,1.671971e-02,5.473036e-02,15.31%,91.19%,4.625146e-03,4.143468e-03,0.002240,0.000166,99.78%,97.51%
models/base_150/base_150_3000.npz,1.311180e-02,4.368857e-02,13.56%,81.47%,6.138517e-03,1.142862e-02,-0.031836,-0.000251,103.18%,103.77%
models/base_150/base_150_4000.npz,1.152981e-02,3.774972e-02,12.71%,75.73%,8.787107e-03,1.363295e-02,0.010238,0.000019,98.98%,99.71%
models/base_150/base_150_5000.npz,1.050230e-02,3.220381e-02,12.13%,69.95%,9.818139e-03,1.503307e-02,0.035840,0.000228,96.42%,96.58%
models/base_150/base_150_6000.npz,1.028378e-02,3.125246e-02,12.01%,68.91%,9.986539e-03,1.569448e-02,0.042512,0.000260,95.75%,96.10%
models/base_150/base_150_7000.npz,9.981241e-03,3.066792e-02,11.83%,68.26%,1.122074e-02,1.767336e-02,0.050392,0.000219,94.96%,96.71%
models/base_150/base_150_8000.npz,9.207584e-03,3.076451e-02,11.36%,68.37%,1.722607e-02,2.886489e-02,0.116609,0.000833,88.34%,87.50%
models/base_150/base_150_9000.npz,9.003933e-03,2.869522e-02,11.23%,66.03%,2.066016e-02,3.174699e-02,0.157794,0.001327,84.22%,80.09%
models/base_150/base_150_10000.npz,1.083979e-02,3.232507e-02,12.33%,70.08%,4.709855e-02,4.089966e-02,0.593168,0.006297,40.68%,5.55%
